id,cambio,diseño_anterior,implementacion_utilizada,motivo,implicacion,fuente_verificable
"M01","Muestra y capital","Historia continua prevista hasta 31/08/2026; evaluación desde 01/01/2022 y comparación 2022-2023 contra 2024+, sin reinicio.","Dos ventanas independientes [2022-09-01,2023-09-01) y [2025-09-01,2026-09-01), en UTC. Cada estrategia reinicia 10.000 USDT y sin posiciones.","Acotar la evaluación a dos ventanas anuales con cobertura verificada.","No hay continuidad de cartera ni cobertura de 2024; H3 es una comparación descriptiva entre ventanas y no identifica causalidad ni una compresión estructural continua.","../antecedentes/parrafos_fuente.txt (E2-P043; E2-P163); ../evidencia/procedencia/methodology.md.txt; ../evidencia/procedencia/escenario_investigacion.md.txt"
"M02","Granularidad de mercado","Operaciones individuales de spot y perpetuos como fuente de precios y ejecución.","Velas completas de un minuto de spot y USD-M; no se consumen trades, aggTrades, ticks ni datos subminuto.","El volumen de datos descartó los trades individuales y la revisión vigente exigió ejecución reproducible con klines.","La ejecución se modela por intervalo y no observa la trayectoria intraminuto.","../antecedentes/parrafos_fuente.txt (E2-P054 a E2-P056); ../evidencia/procedencia/methodology.md.txt"
"M03","Precio de señal y basis","Última operación conocida de cada mercado, con antigüedad máxima de 60 segundos.","Cierres spot y perpetuo del mismo minuto cerrado, ambos con actividad positiva y frescura máxima de 60 segundos.","Evitar desalineación temporal entre patas y anticipación de información.","El basis auditado describe instantes de decisión; no representa todos los minutos ni precios bid/ask simultáneamente ejecutables.","../antecedentes/parrafos_fuente.txt (E2-P067); ../evidencia/procedencia/methodology.md.txt; ../evidencia/codigo/strategy.py"
"M04","Precio y momento del fill","Primera operación posterior, fill total, segunda pata después de un segundo y timeout de 30 segundos.","Primera ventana completa elegible de un minuto; VWAP igual a volumen cotizado dividido por volumen base; fill contabilizado al cierre con slippage y tick adversos.","Sustituir trades descartados por un contrato causal y reproducible con klines.","El VWAP es una aproximación de ejecución y no una garantía de mercado. El slippage ya está incorporado al precio y no se resta nuevamente.","../antecedentes/parrafos_fuente.txt (E2-P097 a E2-P099); ../evidencia/procedencia/methodology.md.txt; ../evidencia/corridas/run_f4151cc97937f3704d77fb14/research_assumptions.json; ../evidencia/corridas/run_519a165818e2cadce24bc873/research_assumptions.json"
"M05","Demoras y vencimientos","Demora efectiva de un segundo entre patas y timeout de 30 segundos por orden.","Las configuraciones conservan order_timeout_seconds=120 como límite general, leg_delay_seconds=1 y vwap_seconds=5. Para execution_model=next_minute_vwap, el deadline se reemplaza por el cierre de una sola ventana elegible de un minuto, la demora efectiva entre patas es cero y vwap_seconds=5 pertenece a la rama heredada de VWAP subminuto, por lo que no interviene. El remanente expira al cierre de la ventana; la corrección de hedge también dispone de una ventana elegible.","La barra completa sólo se conoce al cierre y no permite ejecutar una cronología subminuto dentro de ese intervalo.","El valor 120 no extiende next_minute_vwap a una segunda ventana; leg_delay_seconds y vwap_seconds permanecen serializados por compatibilidad, pero están inactivos bajo este modelo. Los cierres parciales pueden reintentarse en el minuto siguiente con inventario conciliado.","../antecedentes/parrafos_fuente.txt (E2-P097; E2-P098); ../evidencia/corridas/run_f4151cc97937f3704d77fb14/effective_config.toml; ../evidencia/corridas/run_519a165818e2cadce24bc873/effective_config.toml; ../evidencia/codigo/strategy.py"
"M06","Liquidez y fills parciales","Ejecución completa e independiente del volumen de la operación observada.","Capacidad agregada por instrumento, minuto y cartera limitada al 1% del volumen base; permite fills parciales y expira el remanente tras una ventana elegible.","Incorporar una cota de participación reproducible.","La capacidad es simulada, no liquidez accesible garantizada; una pata parcial puede exigir desarmar la exposición efectiva.","../antecedentes/parrafos_fuente.txt (E2-P069; E2-P097); ../evidencia/procedencia/methodology.md.txt; ../evidencia/corridas/run_f4151cc97937f3704d77fb14/effective_config.toml; ../evidencia/codigo/strategy.py"
"M07","Dimensionamiento de las patas","Compra spot objetivo y cálculo posterior del short sobre el neto recibido, con cantidades determinadas secuencialmente.","sizing_model=joint_quantity calcula antes de comprar la mayor combinación spot/futures viable, considerando fee, pasos, fondos, margen, filtros y desbalance máximo de 0,5%.","Evitar descubrir después de la compra que el redondeo de futuros impide una cobertura tolerable.","Reduce fallas de apertura por desbalance, incorpora polvo previo y no permite ampliar retrospectivamente la compra después del fill.","../antecedentes/parrafos_fuente.txt (E2-P118 a E2-P123); ../evidencia/procedencia/methodology.md.txt; ../evidencia/corridas/run_f4151cc97937f3704d77fb14/effective_config.toml; ../evidencia/codigo/strategy.py"
"M08","Prioridad de eventos","Datos y reglas; funding; liquidación e insolvencia; riesgos y vencimientos; decisiones; fills previamente enviados.","Datos disponibles; funding sobre el short anterior; fills de ventanas comprometidas; riesgo y estado; vencimientos y reintentos; decisiones.","Evitar que un control observado al cierre borre retroactivamente un fill de la ventana recién terminada.","Funding usa la posición anterior y el riesgo posterior puede impedir nuevas acciones, pero no revierte economía ya comprometida.","../antecedentes/parrafos_fuente.txt (E2-P151); ../evidencia/procedencia/methodology.md.txt; ../evidencia/codigo/strategy.py"
"M09","Reglas y tarifas","Reconstrucción de comisiones, tamaños, margen y liquidación según su vigencia histórica.","Perfil prescrito constante: spot taker 0,10%, futures taker 0,05%, slippage 1 bp por orden y sin descuentos; filtros, mantenimiento y liquidación provienen de prescribed.py y research_assumptions.json.","No se obtuvieron snapshots históricos completos y verificables para toda la muestra.","data_kind=historical_assumptions. Las tarifas y reglas no deben describirse como condiciones históricas exactas de Binance.","../antecedentes/parrafos_fuente.txt (E2-P064; E2-P065; E2-P133; E2-P144); ../evidencia/procedencia/escenario_investigacion.md.txt; ../evidencia/codigo/prescribed.py; ../evidencia/corridas/run_f4151cc97937f3704d77fb14/research_assumptions.json; ../evidencia/corridas/run_519a165818e2cadce24bc873/research_assumptions.json"
"M10","Mark de funding","Se esperaba utilizar el precio asociado a cada liquidación de funding y aplicar reglas según vigencia.","Ventana temprana: 2.190 observaciones económicas únicas, 1.095 por activo, usan previous_closed_1m; las dos estrategias acumulan 4.380 observaciones económicas consumidas. Hay 92 observaciones únicas de calentamiento sin mark requerido, 184 consumos entre estrategias. Ventana tardía: 2.190 observaciones económicas únicas, 1.095 por activo, tienen mark exacto; las dos estrategias acumulan 4.380 consumos económicos. La validación total incluye 92 observaciones únicas de calentamiento y alcanza 2.282 observaciones únicas y 4.564 consumos entre estrategias.","La fuente no provee mark exacto temprano; se usa como proxy causal el cierre de mark de un minuto inmediatamente anterior disponible al cobro.","Una observación consumida no implica un pago porque la cartera puede estar vacía. El proxy no equivale al settlement mark ausente ni tiene una cota de error garantizada.","../antecedentes/parrafos_fuente.txt (E2-P051 a E2-P053; E2-P140); ../evidencia/procedencia/escenario_investigacion.md.txt; ../evidencia/corridas/run_f4151cc97937f3704d77fb14/funding_mark_audit.json; ../evidencia/corridas/run_519a165818e2cadce24bc873/funding_mark_audit.json"
