archivo,campo,unidad,definicion
tablas/actividad_y_rechazos.csv,ventana,identificador,early=2022–2023; late=2025–2026; early_vs_late=comparación independiente.
tablas/actividad_y_rechazos.csv,estrategia,identificador,conditional=condicional; permanent=permanente; COMMON=serie común; conditional_vs_permanent=comparación.
tablas/actividad_y_rechazos.csv,run_id,identificador,Corrida persistida; no identifica una simulación nueva.
tablas/actividad_y_rechazos.csv,simbolo,identificador,BTCUSDT o ETHUSDT; PORTFOLIO=suma de activos; listas separadas por punto y coma.
tablas/actividad_y_rechazos.csv,tipo,categoría,exposición o diagnóstico.
tablas/actividad_y_rechazos.csv,medida,identificador,Medida de exposición o código de filtro; ver convenciones.md para alcance y denominadores.
tablas/actividad_y_rechazos.csv,valor,según unidad o parámetro,Valor original o derivación indicada por medida/parámetro; nunca convertir vacío en cero.
tablas/actividad_y_rechazos.csv,unidad,texto,Unidad explícita del numerador o denominador; horas-activo suma los símbolos.
tablas/actividad_y_rechazos.csv,denominador,evaluaciones,"Observaciones de entrada por activo y estrategia, 1095 por ventana, derivadas del resumen de auditoría; vacío para exposición."
tablas/actividad_y_rechazos.csv,unidad_denominador,texto,Unidad explícita del numerador o denominador; horas-activo suma los símbolos.
tablas/actividad_y_rechazos.csv,alcance,categoría,"simultaneous_filter_states, sequential_first_rejection o theoretical_not_applied; los grupos no se suman entre sí."
tablas/anexo_variantes_ejecucion.csv,cagr,proporción/año,"Crecimiento anual compuesto, año de 365 días; dos ventanas independientes de 365 días."
tablas/anexo_variantes_ejecucion.csv,capital_deployed_daily_avg_usdt,USDT,"Media o máximo de cortes diarios de spot valorizado+garantía segregada, sumados por activo; puede superar el capital inicial."
tablas/anexo_variantes_ejecucion.csv,capital_deployed_daily_max_usdt,USDT,"Media o máximo de cortes diarios de spot valorizado+garantía segregada, sumados por activo; puede superar el capital inicial."
tablas/anexo_variantes_ejecucion.csv,capital_usdt,USDT,Capital inicial independiente por estrategia y ventana.
tablas/anexo_variantes_ejecucion.csv,closes,intentos de cierre,"Eventos de inicio de cierre del resumen de ejecución, no necesariamente ciclos completados."
tablas/anexo_variantes_ejecucion.csv,complete_cycles,ciclos,Carry abierto completamente y luego cerrado; excluye posiciones abiertas al corte.
